Condition,mean,median,std,count,min,max,Q1,Q3,sem,ci_95,significance
AudioUnet,64.24479166666667,65.0,15.4549666345045,192,19,94,55.0,77.0,1.1153661433434823,2.186117640953225,*****
HiFi-GAN,53.1875,55.0,22.807325221727204,192,9,100,37.0,70.25,1.645976919532443,3.226114762283588,*****
LP 3.5kHz,22.828125,19.5,15.083941067949086,192,0,87,13.0,31.0,1.088589679502607,2.13363577182511,*****
MU-GAN,84.01041666666667,87.0,15.208150743602573,192,30,100,79.75,94.25,1.0975537407119191,2.1512053317953614,*****
Spline 7kHz,54.729166666666664,55.0,16.221296303075828,192,24,100,41.0,64.25,1.1706712233981889,2.29451559786045,*****
WB,97.51041666666667,100.0,7.209642745419454,192,59,100,100.0,100.0,0.5203111474786193,1.0198098490580938,*****
